client_id,Variation,confirm,start,total_time_mins
555,Test,2017-04-15 13:00:34,2017-04-15 12:57:56,2.6333333333333333
647,Test,2017-04-12 15:47:45,2017-04-12 15:41:28,6.283333333333333
1195,Control,2017-04-05 20:19:31,2017-04-05 20:15:26,4.083333333333333
1197,Control,2017-04-01 17:17:59,2017-04-01 17:16:24,1.5833333333333333
1336,Test,2017-05-08 06:08:43,2017-05-08 06:05:12,3.5166666666666666
1516,Test,2017-04-06 22:30:18,2017-04-05 15:53:31,1836.7833333333333
1643,Test,2017-06-10 08:00:55,2017-04-15 15:06:00,80214.91666666667
1755,Test,2017-04-02 11:54:04,2017-03-29 16:24:12,5489.866666666667
1836,Test,2017-04-05 18:49:51,2017-04-05 18:47:54,1.95
1936,Test,2017-03-29 12:55:56,2017-03-29 12:52:28,3.466666666666667
3232,Test,2017-06-15 12:20:00,2017-06-15 12:14:40,5.333333333333333
3572,Test,2017-04-05 17:56:10,2017-04-05 17:51:55,4.25
3743,Control,2017-06-16 06:37:04,2017-06-16 06:32:12,4.866666666666666
4369,Test,2017-04-05 13:24:51,2017-04-05 13:14:19,10.533333333333333
4484,Test,2017-04-05 20:52:35,2017-04-05 20:24:43,27.866666666666667
4603,Test,2017-03-29 15:05:42,2017-03-29 15:03:03,2.65
4717,Test,2017-05-07 18:38:47,2017-04-23 17:17:10,20241.616666666665
4870,Test,2017-03-29 12:36:10,2017-03-29 12:29:18,6.866666666666666
5354,Control,2017-04-12 20:31:31,2017-04-12 20:30:01,1.5
6642,Control,2017-04-19 12:27:58,2017-04-19 12:20:35,7.383333333333334
6904,Test,2017-04-05 12:23:34,2017-04-05 12:21:29,2.0833333333333335
6977,Control,2017-05-08 15:48:43,2017-05-08 15:44:56,3.783333333333333
6985,Control,2017-04-16 14:24:46,2017-04-16 14:14:20,10.433333333333334
7020,Control,2017-04-08 10:21:43,2017-04-08 10:17:47,3.933333333333333
7563,Test,2017-04-04 22:47:00,2017-04-04 22:41:45,5.25
7567,Control,2017-05-07 14:17:14,2017-05-07 14:14:53,2.35
7657,Test,2017-04-05 12:45:11,2017-04-05 12:40:22,4.816666666666666
7723,Test,2017-04-07 10:10:57,2017-04-07 10:05:46,5.183333333333334
8055,Test,2017-04-06 10:27:49,2017-04-06 10:22:52,4.95
8101,Control,2017-04-10 08:55:23,2017-04-10 08:39:29,15.9
