client_id,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
836976,73,60.5,,2,45105.3,6,9
2304905,94,58.0,,2,110860.3,6,9
1439522,64,32.0,,2,52467.78999999999,6,9
1562045,198,49.0,M,2,67454.65,3,6
5126305,145,33.0,F,2,103671.75,0,3
3727881,71,30.5,,2,23915.6,0,3
272934,66,58.5,,2,27021.42,2,5
388801,361,57.5,M,5,522498.72,1,4
285619,369,67.5,M,2,299388.72,3,6
8198645,189,54.5,F,2,382303.83,6,9
8368822,100,34.5,,2,75578.54000000001,0,3
2537139,99,51.5,,2,135940.68,6,9
2208717,67,33.0,,2,29782.96,6,9
2214073,193,62.5,M,3,136818.03,6,9
2368987,71,54.5,,2,44408.87,2,5
2892152,58,36.0,,2,46815.48,5,8
4536541,47,74.0,,2,47804.5,1,4
3788589,122,32.5,M,2,30750.76,0,3
719792,136,31.0,F,2,111736.78,5,8
5904035,101,25.5,,2,27848.76,3,6
1502049,100,31.0,,2,28952.15,0,3
6590646,103,42.5,F,3,2768726.87,5,8
7585111,70,42.0,,3,36621.41,1,4
3638336,152,30.5,M,3,54296.67,3,6
9520009,160,30.0,M,2,61062.57,6,9
1508759,80,58.5,,2,66514.85,4,7
9381346,88,62.5,,2,272252.76,0,3
7035604,86,30.5,,2,28175.92,1,4
3055315,65,34.5,F,2,66560.69,1,5
3350906,68,55.0,,2,88627.18,2,5
2109862,93,38.0,,2,35917.29,2,5
1549737,94,68.5,,2,35608.94,1,4
7474517,73,52.5,,2,53993.47,4,7
6448014,85,57.5,,2,82787.45999999999,6,9
6651826,103,34.5,,2,44696.97,0,3
2305285,168,54.0,M,2,132347.89,6,9
5889920,142,33.0,M,2,106249.03,1,4
3065089,228,63.0,M,2,439723.43,6,9
313570,223,48.0,F,2,75124.07,2,5
9721424,152,32.0,F,2,29667.6,0,3
3753796,305,66.5,F,2,214661.75,6,9
6647577,286,68.0,F,3,86005.57,2,5
6341488,285,65.0,F,2,116534.46,5,8
838619,280,60.5,F,2,131309.81,0,3
2000151,254,38.0,F,2,136515.53999999998,6,9
6579978,253,74.0,M,2,71192.58,1,4
8475126,278,51.0,M,3,327091.02,3,6
7419744,221,49.0,,2,162233.71000000002,0,3
9796602,216,46.0,F,2,25827.39,0,3
1329260,212,63.5,F,2,666138.27,5,8
4821014,204,62.5,M,2,45073.26,1,4
7906602,260,54.5,F,2,39725.28,2,5
2671231,68,23.0,,2,43062.3,1,4
9587439,66,26.5,,2,28875.65,6,9
5542798,116,56.5,M,2,79888.68,5,8
5977906,130,76.5,F,2,82916.93,3,6
7928244,177,33.0,F,2,105416.69,6,9
4906392,159,27.5,F,2,52600.87,2,5
3939684,190,60.5,F,2,48166.13,1,4
3731320,89,39.5,,2,34487.99,6,9
9055726,70,25.0,,3,33261.64,6,9
5808972,66,23.0,,2,29898.98,0,3
7414763,91,27.0,,2,53219.65,6,9
1531616,129,60.0,M,2,100777.88,6,9
8387066,329,66.0,M,2,406190.96,6,9
3402999,92,39.0,,2,56527.9,0,3
8593187,168,56.0,M,3,207559.95,6,9
5908339,190,40.0,F,2,205785.55,5,8
4442018,82,33.0,,2,65264.87,6,9
5727622,73,52.0,,3,109130.47,4,7
3284361,152,31.5,F,2,28085.99,1,4
6666515,169,38.0,,2,59526.37,2,5
9150149,66,43.5,,2,104179.39,2,5
7176877,66,35.0,,2,75279.47,2,5
410752,142,19.0,M,2,25640.01,2,5
3979917,239,63.0,M,2,374919.6,4,7
7759130,69,64.5,,2,78278.56,6,9
5587497,91,64.0,,2,410277.5,5,8
4264493,67,22.5,,3,36298.01,6,9
9492169,58,42.0,,2,98181.16,0,3
5816825,178,54.5,F,2,32873.33,3,6
9692048,142,38.0,M,2,87935.1,4,7
9250552,95,33.5,,2,77674.34,2,5
1730954,63,36.5,F,2,58456.9,0,3
2264903,187,61.0,M,2,63368.8,2,5
7321667,95,39.5,,2,68761.48999999999,6,9
1460648,288,40.5,F,5,121700.66,5,8
2942135,261,68.5,,3,417847.47,6,9
1459001,251,72.0,M,3,166623.2,1,4
6398341,250,33.5,F,3,109127.33,6,9
5531076,228,44.5,M,2,67727.62,2,5
3162487,101,40.0,,2,259691.04,0,3
2570380,56,52.5,,2,51670.67999999999,2,5
5449775,56,28.5,,2,46749.74,2,5
8415669,178,59.5,M,2,43793.82,0,3
6810931,60,23.0,,2,45780.6,5,8
8096768,123,60.0,F,2,91761.22,0,3
6737425,190,59.5,M,2,83778.79000000001,5,8
7949341,175,48.0,,2,25253.27,0,3
7458635,94,26.5,,3,158434.49,6,9
3322068,188,45.0,F,2,140687.41,6,9
1643775,59,18.0,,2,25270.36,1,4
934609,169,54.0,F,2,136573.63,1,4
2408879,58,49.0,,2,208004.65,5,8
1596507,336,78.0,F,3,175883.31,6,9
8763719,149,40.0,M,3,98540.5,6,9
7702214,73,32.0,,2,43988.28,6,9
200698,156,31.5,M,2,28559.28,2,5
7449147,330,26.5,F,2,215247.66,3,6
2096514,175,59.5,F,2,84419.06,1,4
5474775,175,40.5,F,2,95855.61,0,3
6226205,155,68.5,F,2,45294.1,4,7
2069824,167,50.5,F,2,52157.46,6,9
7045562,96,33.5,,3,73644.53,1,4
8501949,93,27.0,,2,76834.13,5,8
5376149,242,56.5,M,2,858054.38,6,9
148954,163,59.5,F,2,89263.33,3,6
7803610,91,29.0,,2,66958.67,6,9
7772844,59,37.5,,3,43012.02,0,3
4681026,81,57.0,,2,99729.87,6,9
9242446,182,70.0,M,2,56986.04,3,6
1905822,134,28.5,F,2,49186.49,2,5
5586955,80,32.0,,2,30493.38,0,3
6980695,56,74.5,,2,143304.76,5,8
3097635,113,22.0,M,2,27215.69,0,3
2559930,172,50.0,F,2,26430.43,5,8
2693746,172,51.5,M,2,35206.61,0,3
9073948,85,58.5,,2,175468.15000000002,6,9
9897542,82,23.0,,2,66806.76999999999,2,5
6652996,120,50.0,F,2,48410.62,1,4
5601417,105,55.0,F,2,23799.36,0,3
4560228,73,53.0,M,2,98419.63,1,4
1592329,212,27.5,,2,27189.73,0,3
5115750,271,62.0,F,4,351838.75,1,4
7885704,244,65.5,F,2,34564.77,0,3
2876901,58,54.0,,2,47348.42999999999,0,3
2365190,66,29.5,,3,30376.22,3,6
4516383,99,45.0,,2,91159.68,6,9
730546,200,51.5,F,2,33972.98,3,6
1860982,94,51.5,,2,98988.68,0,3
1945276,193,50.5,M,2,91623.79,1,4
1525212,157,33.0,F,2,72424.95999999999,6,9
7139038,78,39.0,,2,31918.65,3,6
3678422,204,33.0,M,3,339660.53,6,9
121354,60,30.5,,2,35592.44,5,8
7597197,151,33.0,F,2,60175.34,2,5
8806527,121,28.0,,2,55742.17999999999,5,8
4561742,184,44.5,M,3,240993.69,3,6
8011247,60,59.5,M,2,31921.91,6,9
6689398,335,68.0,M,2,89224.4,3,6
5416822,168,39.0,M,2,40549.95,1,4
3093790,357,69.5,F,2,107604.36,3,6
9625688,111,35.5,M,2,91643.57,2,5
7280817,185,54.0,M,2,192518.99,6,9
6055529,76,27.5,,2,48601.07,2,5
6679780,68,71.5,F,2,36978.84,3,6
2668008,73,34.0,,2,38654.73,3,6
9247669,81,38.5,,3,414323.08,6,9
7704754,148,25.5,M,2,31514.34,5,8
3455403,99,55.0,M,2,73520.62,4,7
3930919,129,35.0,M,2,64113.1,0,3
2615801,60,27.0,,3,72480.08,5,8
4110312,97,66.0,,2,36933.26,4,7
7794321,152,28.0,M,2,37879.82,3,6
